geo,geo.name,year,geo.year.gdp
ame,The Americas,1971,7.78247E+12
ame,The Americas,1972,8.23117E+12
ame,The Americas,1973,8.77652E+12
ame,The Americas,1974,8.94618E+12
ame,The Americas,1975,9.04882E+12
ame,The Americas,1976,9.55912E+12
ame,The Americas,1977,9.99503E+12
ame,The Americas,1978,1.05311E+13
ame,The Americas,1979,1.09858E+13
ame,The Americas,1980,1.12075E+13
ame,The Americas,1981,1.14336E+13
ame,The Americas,1982,1.12564E+13
ame,The Americas,1983,1.14711E+13
ame,The Americas,1984,1.21731E+13
ame,The Americas,1985,1.26446E+13
ame,The Americas,1986,1.3102E+13
ame,The Americas,1987,1.35759E+13
ame,The Americas,1988,1.40365E+13
ame,The Americas,1989,1.44433E+13
ame,The Americas,1990,1.45748E+13
ame,The Americas,1991,1.46599E+13
ame,The Americas,1992,1.50763E+13
ame,The Americas,1993,1.55001E+13
ame,The Americas,1994,1.61411E+13
ame,The Americas,1995,1.65128E+13
ame,The Americas,1996,1.71098E+13
ame,The Americas,1997,1.79138E+13
ame,The Americas,1998,1.86013E+13
ame,The Americas,1999,1.92364E+13
ame,The Americas,2000,2.00263E+13
ame,The Americas,2001,2.02252E+13
ame,The Americas,2002,2.05236E+13
ame,The Americas,2003,2.1034E+13
ame,The Americas,2004,2.19463E+13
ame,The Americas,2005,2.27543E+13
ame,The Americas,2006,2.35525E+13
ame,The Americas,2007,2.42492E+13
ame,The Americas,2008,2.45298E+13
ame,The Americas,2009,2.39804E+13
ame,The Americas,2010,2.4849E+13
ame,The Americas,2011,2.5529E+13
ame,The Americas,2012,2.61826E+13
ame,The Americas,2013,2.68226E+13
ame,The Americas,2014,2.73631E+13
ame,The Americas,2015,2.80898E+13
